Category;Segment;Scenario;Date;Value;;;
Urban;Convenience;Forecast;01.12.2016;12992;;;
Urban;Convenience;Forecast;01.11.2016;16948;;;
Urban;Convenience;Forecast;01.10.2016;21970;;;
Urban;Convenience;Forecast;01.09.2016;33346;;;
Urban;Convenience;Forecast;01.08.2016;34524;;;
Urban;Convenience;Forecast;01.07.2016;26222;;;
Urban;Convenience;Forecast;01.06.2016;110528;;;
Urban;Convenience;Forecast;01.05.2016;140424;;;
Urban;Convenience;Forecast;01.04.2016;137464;;;
Urban;Convenience;Forecast;01.03.2016;408;;;
Urban;Convenience;Forecast;01.02.2016;624;;;
Urban;Convenience;Forecast;01.01.2016;240;;;
Urban;Convenience;Budget;01.12.2016;39456;;;
Urban;Convenience;Budget;01.11.2016;56862;;;
Urban;Convenience;Budget;01.10.2016;52848;;;
Urban;Convenience;Budget;01.09.2016;13731;;;
Urban;Convenience;Budget;01.08.2016;9864;;;
Urban;Convenience;Budget;01.07.2016;15075;;;
Urban;Convenience;Budget;01.06.2016;144;;;
Urban;Convenience;Budget;01.05.2016;432;;;
Urban;Convenience;Budget;01.04.2016;144;;;
Urban;Convenience;Budget;01.03.2016;13731;;;
Urban;Convenience;Budget;01.02.2016;9864;;;
Urban;Convenience;Budget;01.01.2016;15075;;;
Urban;Convenience;Budget;01.12.2015;144;;;
Urban;Convenience;Budget;01.11.2015;432;;;
Urban;Convenience;Budget;01.10.2015;144;;;
Urban;Convenience;Budget;01.09.2015;42702;;;
Urban;Convenience;Budget;01.08.2015;48174;;;
Urban;Convenience;Budget;01.07.2015;51000;;;
Urban;Convenience;Budget;01.06.2015;92073.6;;;
Urban;Convenience;Budget;01.05.2015;119731.2;;;
Urban;Convenience;Budget;01.04.2015;91584;;;
Urban;Convenience;Budget;01.03.2015;45072;;;
Urban;Convenience;Budget;01.02.2015;29448;;;
Urban;Convenience;Budget;01.01.2015;39744;;;
Urban;Extreme;Forecast;01.12.2016;14280;;;
Urban;Extreme;Forecast;01.11.2016;9516;;;
Urban;Extreme;Forecast;01.10.2016;12732;;;
Urban;Extreme;Forecast;01.09.2016;18308;;;
Urban;Extreme;Forecast;01.08.2016;13152;;;
Urban;Extreme;Forecast;01.07.2016;20100;;;
Urban;Extreme;Forecast;01.06.2016;80544;;;
Urban;Extreme;Forecast;01.05.2016;97008;;;
Urban;Extreme;Forecast;01.04.2016;103056;;;
Urban;Extreme;Forecast;01.03.2016;57000;;;
Urban;Extreme;Forecast;01.02.2016;74892;;;
Urban;Extreme;Forecast;01.01.2016;59052;;;
Urban;Extreme;Budget;01.12.2016;144;;;
Urban;Extreme;Budget;01.11.2016;432;;;
Urban;Extreme;Budget;01.10.2016;144;;;
Urban;Extreme;Budget;01.09.2016;3756;;;
Urban;Extreme;Budget;01.08.2016;2454;;;
Urban;Extreme;Budget;01.07.2016;3312;;;
Urban;Extreme;Budget;01.06.2016;40272;;;
Urban;Extreme;Budget;01.05.2016;48504;;;
Urban;Extreme;Budget;01.04.2016;51528;;;
Urban;Extreme;Budget;01.03.2016;42702;;;
Urban;Extreme;Budget;01.02.2016;48174;;;
Urban;Extreme;Budget;01.01.2016;51000;;;
Urban;Extreme;Budget;01.12.2015;36520;;;
Urban;Extreme;Budget;01.11.2015;48232;;;
Urban;Extreme;Budget;01.10.2015;41376;;;
Urban;Extreme;Budget;01.09.2015;57000;;;
Urban;Extreme;Budget;01.08.2015;74892;;;
Urban;Extreme;Budget;01.07.2015;59052;;;
Urban;Extreme;Budget;01.06.2015;184147.2;;;
Urban;Extreme;Budget;01.05.2015;239462.4;;;
